gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
1,0,1,1,44,1,No_phone_service,DSL,No,No,Yes,No_internet_service,No,No,Month_to_month,No,Bank_transfer_(automatic),25.88485871,2408.339607,0
1,1,1,1,7,0,No,DSL,No,No,No,No,No_internet_service,Yes,Month_to_month,No,Credit_card_(automatic),38.41,239.29,0
1,0,1,1,30,0,No,Fiber_optic,No,No_internet_service,No_internet_service,Yes,Yes,No_internet_service,One_year,No,Bank_transfer_(automatic),96.77,1391.39,0
0,0,0,1,48,1,No,DSL,Yes,No_internet_service,Yes,No,No,Yes,Two_year,No,Bank_transfer_(automatic),48.06,4346.44,0
1,0,0,1,49,1,No_phone_service,DSL,Yes,No,Yes,No_internet_service,No_internet_service,No,One_year,No,Electronic_check,113.2860904,1465.557481,0
0,1,1,0,3,1,No_phone_service,DSL,No,No,No,No_internet_service,No,No,Month_to_month,No,Bank_transfer_(automatic),81.04,1699.68,0
1,1,1,0,55,1,No_phone_service,DSL,No,No_internet_service,Yes,No,No,No,Month_to_month,Yes,Electronic_check,91.39,50.04,0
0,1,0,0,72,0,No,Fiber_optic,No,No,No_internet_service,No,Yes,No_internet_service,Month_to_month,No,Electronic_check,116.5149782,4752.124371,0
0,0,0,0,1,1,Yes,Fiber_optic,No,No,No,No,No,No,Month_to_month,Yes,Electronic_check,95.0,95.0,1
0,0,0,0,52,1,No,DSL,No_internet_service,No_internet_service,No_internet_service,No,No_internet_service,No_internet_service,One_year,Yes,Credit_card_(automatic),112.4036067,539.5393464,0
0,0,0,0,1,1,Yes,Fiber_optic,No,No,No,No,No,No,Month_to_month,Yes,Electronic_check,95.0,95.0,1
0,1,0,1,51,0,No_phone_service,DSL,No,Yes,No,No_internet_service,No,No,Two_year,Yes,Bank_transfer_(automatic),107.6907422,2322.027885,0
0,1,0,1,3,1,Yes,DSL,No,No_internet_service,No_internet_service,No,Yes,No,Month_to_month,No,Electronic_check,67.96,4281.86,0
0,0,0,0,1,1,Yes,Fiber_optic,No,No,No,No,No,No,Month_to_month,Yes,Electronic_check,95.0,95.0,1
0,0,0,0,1,1,Yes,Fiber_optic,No,No,No,No,No,No,Month_to_month,Yes,Electronic_check,95.0,95.0,1
0,0,0,0,1,1,Yes,Fiber_optic,No,No,No,No,No,No,Month_to_month,Yes,Electronic_check,95.0,95.0,1
0,0,1,1,3,0,No,Fiber_optic,No_internet_service,No,No,No,No,No,Month_to_month,No,Bank_transfer_(automatic),76.67665124,4559.225532,0
0,0,0,0,1,1,Yes,Fiber_optic,No,No,No,No,No,No,Month_to_month,Yes,Electronic_check,95.0,95.0,1
1,0,0,1,45,1,No,No,No_internet_service,No_internet_service,No,No,No_internet_service,No,Month_to_month,Yes,Mailed_check,56.0,3683.83,0
0,1,1,0,3,0,No,DSL,No,No,No,No,No,No,Month_to_month,Yes,Bank_transfer_(automatic),67.21157339,273.0871382,0
0,1,1,0,70,1,No,DSL,No,No,Yes,No_internet_service,No,No,Month_to_month,Yes,Bank_transfer_(automatic),42.5200693,1169.868461,0
0,0,0,1,70,0,No_phone_service,DSL,No,No,No_internet_service,No,No,No,One_year,No,Bank_transfer_(automatic),40.34567898,2814.449798,0
0,1,1,1,62,1,No_phone_service,DSL,No_internet_service,No,Yes,No_internet_service,No,No,Two_year,No,Bank_transfer_(automatic),41.6533899,4324.833197,0
0,0,1,0,40,1,No,Fiber_optic,No_internet_service,No,No,No_internet_service,No,No_internet_service,One_year,No,Credit_card_(automatic),71.43973222,2468.059456,0
1,0,0,0,53,0,Yes,Fiber_optic,No,No_internet_service,Yes,Yes,Yes,No,Month_to_month,No,Electronic_check,95.87797954,4450.097693,1
1,1,1,1,32,1,No,No,Yes,No,No_internet_service,No,No_internet_service,No_internet_service,Month_to_month,No,Bank_transfer_(automatic),57.95862487,4436.73079,0
0,1,1,1,16,0,No,DSL,No,No,No,No,No,No_internet_service,One_year,Yes,Bank_transfer_(automatic),116.1009951,4049.111799,0
0,0,0,0,1,1,Yes,Fiber_optic,No,No,No,No,No,No,Month_to_month,Yes,Electronic_check,95.0,95.0,1
0,0,0,0,1,1,Yes,Fiber_optic,No,No,No,No,No,No,Month_to_month,Yes,Electronic_check,95.0,95.0,1
0,0,0,0,1,1,Yes,Fiber_optic,No,No,No,No,No,No,Month_to_month,Yes,Electronic_check,95.0,95.0,1
1,1,1,0,40,0,No,DSL,No_internet_service,Yes,No_internet_service,No_internet_service,No,No,Month_to_month,No,Bank_transfer_(automatic),116.5099091,1968.691369,0
0,1,1,0,9,1,No_phone_service,DSL,No,No_internet_service,No,Yes,No,No,Month_to_month,No,Bank_transfer_(automatic),91.19730772,1642.698199,0
1,1,1,1,15,0,No,No,No_internet_service,No_internet_service,No_internet_service,No_internet_service,Yes,No,One_year,No,Bank_transfer_(automatic),43.66,4982.35,0
0,0,0,1,2,1,Yes,No,No,No,No,Yes,No,No,Month_to_month,No,Credit_card_(automatic),116.0184839,2855.366125,0
0,0,0,0,61,1,No_phone_service,DSL,No,Yes,No,No_internet_service,No,No_internet_service,Month_to_month,No,Bank_transfer_(automatic),44.55150387,3078.155814,0
0,0,0,1,31,1,Yes,No,Yes,No,Yes,No_internet_service,No,No,Month_to_month,Yes,Credit_card_(automatic),92.75647221,4836.200239,0
0,1,1,1,62,1,No_phone_service,DSL,No,No_internet_service,No_internet_service,No,No,No,Month_to_month,Yes,Bank_transfer_(automatic),96.29,3792.57,0
0,0,1,1,60,0,No,DSL,No,No,No_internet_service,No,No,No,Month_to_month,No,Bank_transfer_(automatic),40.84679759,233.9883674,0
0,0,0,0,1,1,Yes,Fiber_optic,No,No,No,No,No,No,Month_to_month,Yes,Electronic_check,95.0,95.0,1
1,1,1,0,28,1,No,DSL,No_internet_service,No,No,No,No,Yes,Month_to_month,No,Bank_transfer_(automatic),105.9156497,3359.290487,0
1,0,0,0,64,0,No_phone_service,DSL,No,Yes,No_internet_service,No_internet_service,No,No,One_year,No,Electronic_check,83.20496184,3051.124462,0
0,1,0,0,6,0,Yes,Fiber_optic,No,No_internet_service,No,No_internet_service,No,No_internet_service,One_year,No,Bank_transfer_(automatic),55.52274199,2231.879924,0
1,1,1,0,56,0,No_phone_service,No,No,No,No_internet_service,Yes,No,No_internet_service,One_year,No,Bank_transfer_(automatic),71.19284374,3114.741612,0
0,0,0,0,1,1,Yes,Fiber_optic,No,No,No,No,No,No,Month_to_month,Yes,Electronic_check,95.0,95.0,1
1,1,0,1,31,1,No_phone_service,DSL,Yes,No,No,No,No_internet_service,No_internet_service,Two_year,Yes,Bank_transfer_(automatic),93.73445254,4189.773726,0
0,0,1,0,64,1,No,DSL,No,No,No,No_internet_service,No,Yes,Month_to_month,Yes,Electronic_check,107.2622556,2039.630061,0
0,0,0,0,1,1,Yes,Fiber_optic,No,No,No,No,No,No,Month_to_month,Yes,Electronic_check,95.0,95.0,1
1,0,1,0,44,1,No_phone_service,DSL,No_internet_service,No,No,Yes,No,No_internet_service,Month_to_month,No,Electronic_check,50.48,2430.55,0
0,1,0,0,35,1,No_phone_service,No,No,No_internet_service,No_internet_service,Yes,No,No,Month_to_month,No,Bank_transfer_(automatic),36.13359462,1068.073265,0
0,0,0,0,1,1,Yes,Fiber_optic,No,No,No,No,No,No,Month_to_month,Yes,Electronic_check,95.0,95.0,1
0,1,1,0,38,0,No_phone_service,No,No,No,No,No,No,Yes,One_year,No,Mailed_check,118.7424691,2829.614081,0
0,0,0,0,1,1,Yes,Fiber_optic,No,No,No,No,No,No,Month_to_month,Yes,Electronic_check,95.0,95.0,1
1,1,0,0,57,1,No,DSL,No_internet_service,Yes,No,No_internet_service,No,No,Two_year,No,Credit_card_(automatic),57.86929152,3529.247844,0
0,0,1,0,39,1,No,No,Yes,No,No_internet_service,No_internet_service,No,No,Month_to_month,No,Bank_transfer_(automatic),108.7614834,2058.396366,0
0,1,0,1,7,1,Yes,DSL,No,Yes,No,No,No,No_internet_service,One_year,No,Credit_card_(automatic),27.03009908,820.9166077,0
1,1,1,1,40,0,No,DSL,Yes,No,No,No,No,No_internet_service,Month_to_month,No,Bank_transfer_(automatic),103.2188411,854.8459058,0
0,0,1,1,60,1,Yes,Fiber_optic,Yes,No,Yes,No,No,No,Month_to_month,No,Credit_card_(automatic),95.57,1826.1,0
0,1,1,0,44,1,No,Fiber_optic,No,No_internet_service,No,No_internet_service,No,No,Month_to_month,Yes,Bank_transfer_(automatic),108.0798656,442.1234243,0
1,0,1,0,5,0,No,DSL,No_internet_service,No_internet_service,Yes,Yes,No,No,One_year,Yes,Bank_transfer_(automatic),53.10824029,3497.661808,0
0,0,0,0,1,1,Yes,Fiber_optic,No,No,No,No,No,No,Month_to_month,Yes,Electronic_check,95.0,95.0,1
1,1,0,1,34,0,No,DSL,No_internet_service,No,No,No,No,No,One_year,No,Bank_transfer_(automatic),86.98066186,4207.796797,0
1,1,0,1,53,1,No,Fiber_optic,No,No,No,No,No_internet_service,No,Month_to_month,No,Bank_transfer_(automatic),34.49394622,463.4745187,0
0,1,1,0,14,1,No,DSL,No,No,No,No,No,Yes,Month_to_month,No,Bank_transfer_(automatic),92.61937476,1960.487475,0
0,1,0,1,64,1,No_phone_service,DSL,No,No_internet_service,No_internet_service,No,No,No,One_year,No,Bank_transfer_(automatic),81.31278518,697.326468,0
0,0,1,0,12,1,No,DSL,No,No,No,No,No_internet_service,No,Month_to_month,No,Electronic_check,82.44,4674.35,0
0,0,0,1,52,0,No,No,No,No,No,No_internet_service,No_internet_service,No,Month_to_month,Yes,Bank_transfer_(automatic),55.81,1826.37,0
0,1,1,0,15,0,No,DSL,No_internet_service,No_internet_service,No_internet_service,No,No,No,One_year,No,Bank_transfer_(automatic),113.36,4411.36,0
0,0,0,0,1,1,Yes,Fiber_optic,No,No,No,No,No,No,Month_to_month,Yes,Electronic_check,95.0,95.0,1
0,1,1,1,17,1,No,DSL,No,No,No_internet_service,No,No,No_internet_service,Month_to_month,No,Bank_transfer_(automatic),116.2971873,1461.87743,0
0,1,1,0,5,0,No,DSL,No,No_internet_service,No,No,No,Yes,Month_to_month,No,Bank_transfer_(automatic),57.45231823,3206.320461,0
1,0,1,1,48,0,Yes,No,No,No_internet_service,Yes,No,Yes,Yes,One_year,No,Bank_transfer_(automatic),24.6692238,1537.276201,0
0,1,1,1,51,0,No,Fiber_optic,No_internet_service,No_internet_service,No_internet_service,No,No,No,Two_year,No,Bank_transfer_(automatic),56.3338457,544.8089759,0
0,1,0,0,57,0,No_phone_service,DSL,No_internet_service,No_internet_service,No_internet_service,No,No,No,Month_to_month,No,Bank_transfer_(automatic),72.86163572,2396.54593,0
1,0,1,1,27,1,No_phone_service,Fiber_optic,No,No,Yes,No_internet_service,No,No_internet_service,Month_to_month,No,Credit_card_(automatic),73.95,3407.16,0
1,0,1,0,32,0,No,DSL,No,No_internet_service,No_internet_service,No,No,Yes,Month_to_month,No,Credit_card_(automatic),63.84104055,1959.067001,0
0,1,1,0,54,0,No,DSL,No_internet_service,No_internet_service,No,No_internet_service,No,No,Month_to_month,No,Bank_transfer_(automatic),48.65383297,1336.616952,0
0,1,1,0,46,0,No_phone_service,DSL,No,No,No,No,Yes,No,Month_to_month,No,Bank_transfer_(automatic),33.33,2878.5,0
1,0,0,0,7,0,Yes,No,No,No,No,No,No_internet_service,No,Month_to_month,Yes,Mailed_check,115.8581415,4866.715179,0
0,1,0,1,8,0,No,DSL,No,No,No_internet_service,Yes,No,No_internet_service,Month_to_month,No,Bank_transfer_(automatic),23.89755378,1185.86355,0
0,0,0,1,39,0,No,No,No,No_internet_service,No,Yes,No_internet_service,No,One_year,Yes,Electronic_check,40.60455583,4477.649456,0
0,0,0,0,34,0,Yes,DSL,No,No,No,Yes,No_internet_service,No_internet_service,Month_to_month,Yes,Bank_transfer_(automatic),101.65,2460.83,0
0,1,0,0,44,0,No,DSL,No,No_internet_service,No,No,No,No_internet_service,Month_to_month,No,Credit_card_(automatic),61.22946818,3408.153834,0
1,1,1,0,19,0,No,Fiber_optic,No,No,No_internet_service,No,No_internet_service,No,One_year,Yes,Electronic_check,20.345845,1761.684558,0
0,1,0,0,1,1,No_phone_service,DSL,No,No,No_internet_service,No,No_internet_service,No,One_year,No,Bank_transfer_(automatic),39.30938555,4823.022118,0
1,1,0,1,27,1,No_phone_service,Fiber_optic,Yes,No,No_internet_service,No,No,Yes,Month_to_month,No,Bank_transfer_(automatic),70.99961365,4488.99561,0
0,0,0,1,60,0,No,DSL,No,No,No,No,No,No,Month_to_month,No,Mailed_check,76.55478318,4456.585465,0
0,0,0,0,1,1,Yes,Fiber_optic,No,No,No,No,No,No,Month_to_month,Yes,Electronic_check,95.0,95.0,1
1,1,0,1,34,0,No,Fiber_optic,No,No_internet_service,No,No_internet_service,No,No,One_year,Yes,Bank_transfer_(automatic),22.98,3052.48,0
1,1,0,0,50,0,No,DSL,No_internet_service,Yes,No,No,No,No,Month_to_month,No,Bank_transfer_(automatic),40.93,1905.89,0
0,1,1,1,39,1,No,DSL,No,No_internet_service,Yes,No,No,No,One_year,No,Mailed_check,36.19534443,3666.592791,0
1,0,1,1,57,0,No,DSL,No,Yes,No,No_internet_service,No,No,One_year,No,Mailed_check,81.66317866,1311.792655,0
